trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,0,-27.872792085107097,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",20,0,-25.72990753389569,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",25,0,-198.82746871114693,"{0: 14, 1: 2, 2: 3, 3: 3, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",25,0,-57.29548502791428,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",20,0,-36.72917315945726,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",30,0,-187.32381009012082,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",25,0,-205.03479106453796,"{0: 16, 1: 1, 2: 2, 3: 2, 4: 4}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,1,-68.6666229622159,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,7,-161.73978732933594,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 3}",1
28,False,"{'a': 0.5, 'e': 0.7547192872036326}",20,0,-86.99166098728318,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",25,0,-98.36323947110556,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,0,-118.26960576239998,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",25,0,-124.24556811761249,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",20,0,-92.75375060273622,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7177305325982749}",25,0,-70.88760381420485,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",30,7,-126.16155132157145,"{0: 16, 1: 0, 2: 2, 3: 3, 4: 2}",1
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",20,12,3.686009953056584,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",30,0,-144.78068789569133,"{0: 18, 1: 5, 2: 2, 3: 4, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",25,8,7.8879275035905625,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 0}",1
